⺼	rou
㟖	long
㟗	bin
㟘	tiao
㟙	lao
㟙	ze
㟙	zhai
㟚	qi
㟛	zan
㟜	mi
㟝	pei
㟝	pou
㟞	zhan
㟟	xiang
㟠	gang
㟡	juan
㟡	xiang
㟢	qi
㟣	song
㟤	lu
㟥	cen
㟦	yun
㟧	e
㟧	nie
㟧	xun
㟨	duan
㟨	quan
㟩	min
㟩	wen
㟪	wei
㟫	quan
㟬	shu
㟬	sou
㟭	min
㟮	tu
㟯	e
㟰	ming
㟱	yao
㟲	jue
㟲	yuan
㟳	li
㟴	kuai
㟴	kui
㟴	wei
㟵	gang
㟶	yuan
㟷	da
㟸	gao
㟹	lao
㟺	lou
㟻	qian
㟼	ao
㟽	biao
㟾	yong
㟿	mang
㠀	dao
㠁	cen
㠂	ao
㠃	di
㠄	xi
㠅	fu
㠆	dan
㠇	jiu
㠈	run
㠉	tong
㠊	qu
㠋	e
㠌	qi
㠍	ji
㠍	jie
㠍	qi
㠎	ji
㠎	jie
㠎	qi
㠏	hua
㠐	jiao
㠑	zui
㠒	biao
㠓	meng
㠔	bai
㠕	wei
㠖	ji
㠖	yi
㠗	ao
㠗	wo
㠘	yu
㠙	hao
㠙	yao
㠚	dui
㠚	zhuo
㠛	wo
㠜	ni
㠝	cuan
㠞	zheng
㠟	li
㠠	lu
㠠	lv
㠡	niao
㠢	huai
㠣	lai
㠣	li
㠤	rang
㠥	lei
㠥	lv
㠦	feng
㠧	mi
㠨	yu
㠩	huang
㠪	ju
㠫	gu
㠬	gu
㠭	zhan
㠮	gang
㠮	peng
㠯	yi
㠱	ji
㠱	qi
㠲	bi
㠳	mu
㠴	ren
㠵	huang
㠶	fan
㠷	ge
㠸	fu
㠸	ku
㠹	jie
㠺	miao
㠺	sha
㠻	xi
㠼	si
㠽	tong
㠾	yuan
㠿	ci
㠿	zi
㡀	bi
㡁	kai
㡁	kua
㡂	li
㡃	huang
㡄	sun
㡄	xun
㡅	nuo
㡆	huang
㡇	ji
㡇	jie
㡇	zhe
㡈	men
㡈	mian
㡈	wen
㡉	xian
㡉	yan
㡊	qia
㡊	qian
㡋	an
㡋	e
㡋	ye
㡌	mao
㡌	mei
㡍	ma
㡎	qiao
㡎	shan
㡎	shen
㡏	shu
㡏	tou
㡏	xu
㡐	jian
㡑	jiao
㡑	qiao
㡒	zhun
㡓	hui
㡓	kun
㡔	mu
㡔	wu
㡕	ying
㡖	chuang
㡗	ti
㡘	lian
㡘	lin
㡙	bi
㡙	pi
㡚	gou
㡛	mang
㡜	xie
㡜	xue
㡝	feng
㡝	fu
㡞	lei
㡞	lou
㡞	lv
㡟	zao
㡠	zheng
㡡	chu
㡢	man
㡣	long
㡤	fu
㡥	yin
㡦	pin
㡧	zhen
㡧	zheng
㡨	jian
㡨	qian
㡩	luan
㡪	nie
㡫	yi
㡬	ji
㡭	ji
㡮	ji
㡯	du
㡯	duo
㡯	zhai
㡰	yu
㡱	jiu
㡲	huan
㡳	di
㡳	zhe
㡳	zhi
㡴	la
㡵	ling
㡶	zhi
㡷	ben
㡸	cha
㡸	zha
㡹	ci
㡹	ju
㡺	dan
㡻	liao
㡼	yi
㡽	zhao
㡾	xian
㡿	chi
㢀	ci
㢀	zi
㢁	chi
㢁	shi
㢂	dui
㢂	tui
㢂	yan
㢃	lang
㢄	dou
㢅	long
㢆	chan
㢇	yan
㢈	dui
㢈	tui
㢉	cha
㢊	ai
㢊	yi
㢋	chi
㢌	e
㢌	ke
㢍	ying
㢎	cha
㢎	ze
㢎	zhai
㢎	zhe
㢏	tou
㢏	yu
㢐	e
㢑	tui
㢒	cha
㢓	yao
㢓	zhang
㢔	zong
㢕	yong
㢖	ban
㢖	pan
㢗	qiao
㢘	lian
㢙	qin
㢚	lu
㢛	qian
㢛	yan
㢜	kang
㢝	su
㢞	yi
㢟	chan
㢠	hui
㢠	jiong
㢠	jun
㢡	jiang
㢢	bi
㢣	jing
㢣	qing
㢤	zai
㢥	dong
㢦	ge
㢧	juan
㢨	han
㢩	di
㢪	wu
㢫	shan
㢬	hong
㢭	tao
㢮	chi
㢯	diao
㢯	min
㢰	bi
㢰	huan
㢲	xun
㢳	lu
㢴	xi
㢵	she
㢵	xie
㢶	bi
㢷	sui
㢸	bi
㢹	xin
㢺	xian
㢻	rui
㢻	wei
㢼	bie
㢽	er
㢾	juan
㢿	hou
㣀	zhen
㣁	bei
㣂	e
㣂	yi
㣃	yu
㣄	qu
㣅	zan
㣆	mi
㣆	pei
㣇	ni
㣇	yi
㣈	si
㣉	gong
㣊	xiu
㣋	dan
㣌	shan
㣍	tai
㣎	mu
㣏	jing
㣐	bian
㣑	rong
㣑	yong
㣒	ceng
㣓	can
㣔	cheng
㣔	zheng
㣕	da
㣖	tai
㣗	hu
㣘	ju
㣙	di
㣙	zhou
㣚	dong
㣚	tong
㣛	hui
㣛	ta
㣜	xing
㣝	song
㣞	duo
㣟	xi
㣠	tao
㣠	tong
㣡	zhong
㣢	ti
㣣	shan
㣤	jian
㣥	zhi
㣦	wei
㣧	yin
㣧	yong
㣨	gu
㣩	lin
㣪	huan
㣪	kuo
㣫	dong
㣫	zhong
㣬	qi
㣭	zong
㣮	nan
㣯	xie
㣰	xie
㣱	ze
㣱	zuo
㣲	wei
㣳	wu
㣴	huang
㣵	ta
㣶	zhan
㣷	ning
㣸	rui
㣹	ying
㣺	xin
㣻	yi
㣼	ren
㣽	nu
㣽	shu
㣾	cha
㣿	diao
㣿	zhuo
㤀	wang
㤁	mian
㤁	tian
㤂	ji
㤃	fang
㤄	pei
㤅	ai
㤆	fan
㤇	ao
㤇	fo
㤇	wu
㤈	qin
㤉	qia
㤉	ya
㤊	xiao
㤊	yao
㤋	fen
㤌	gan
㤍	qiao
㤎	ge
㤏	tong
㤐	chan
㤑	you
㤒	gao
㤓	ben
㤔	fu
㤕	chu
㤕	po
㤖	zhu
㤗	tai
㤘	chu
㤘	cu
㤘	zhou
㤙	en
㤚	hang
㤛	nin
㤛	ren
㤜	jue
㤜	yu
㤝	chong
㤞	cha
㤞	duo
㤞	ze
㤟	kong
㤟	tou
㤠	lie
㤡	li
㤡	lie
㤢	xu
㤢	yu
㤣	peng
㤤	yu
㤥	hai
㤦	li
㤧	hou
㤨	gong
㤨	qiong
㤩	ke
