⺼	rou
𬇊	chi
𬇌	jue
𬇍	jiao
𬇏	qi
𬇔	jiang
𬇕	man
𬇕	wan
𬇖	men
𬇖	qi
𬇗	hong
𬇘	tuan
𬇘	zhuan
𬇙	bei
𬇙	pei
𬇚	huan
𬇛	huan
𬇞	bing
𬇟	yong
𬇠	cheng
𬇡	kan
𬇢	wu
𬇢	yu
𬇤	zi
𬇥	teng
𬇦	tai
𬇨	zhi
𬇩	du
𬇪	shu
𬇬	yan
𬇯	pan
𬇰	men
𬇱	bu
𬇱	pei
𬇲	liang
𬇴	ju
𬇵	yan
𬇷	zha
𬇹	guo
𬇺	feng
𬇼	jiao
𬇽	jian
𬇾	mai
𬇿	zi
𬈀	ji
𬈁	shan
𬈁	tan
𬈂	meng
𬈃	ze
𬈄	li
𬈆	bo
𬈊	he
𬈋	lan
𬈏	du
𬈑	ming
𬈓	chen
𬈓	shen
𬈔	tan
𬈕	bi
𬈕	fei
𬈕	pai
𬈖	lian
𬈘	gong
𬈙	zhen
𬈚	lao
𬈚	liao
𬈚	wu
𬈛	yuan
𬈜	ying
𬈝	yu
𬈟	gun
𬈠	chun
𬈠	fu
𬈡	zhai
𬈣	jiang
𬈤	cheng
𬈤	deng
𬈤	ying
𬈥	bin
𬈦	ci
𬈧	se
𬈨	quan
𬈩	pu
𬈪	tan
𬈬	yin
𬈮	kun
𬈯	jiao
𬈱	po
𬈲	qi
𬈳	wen
𬈵	ju
𬈶	zi
𬈷	tang
𬈸	pu
𬈺	bai
𬈻	hao
𬈾	hua
𬈿	ning
𬈿	zhu
𬉀	yi
𬉂	fen
𬉅	yan
𬉇	sha
𬉈	pei
𬉉	zhan
𬉊	sheng
𬉋	dui
𬉋	wei
𬉍	ya
𬉏	dui
𬉑	ying
𬉒	huang
𬉓	lai
𬉔	zhen
𬉕	yu
𬉖	yi
𬉗	mi
𬉚	cheng
𬉚	deng
𬉚	ying
𬉛	yin
𬉜	lu
𬉞	man
𬉟	wang
𬉠	lan
𬉢	zhan
𬉤	du
𬉥	han
𬉦	han
𬉧	han
𬉩	ying
𬉪	dui
𬉫	ying
𬉬	cuan
𬉭	bi
𬉮	wu
𬉯	fan
𬉯	po
𬉲	luan
𬉳	luan
𬉴	cun
𬉶	yin
𬉸	kou
𬉹	zhi
𬉻	yan
𬉼	ou
𬉾	dan
𬉿	huo
𬉿	pao
𬊀	fang
𬊂	chao
𬊄	pei
𬊇	rong
𬊈	xun
𬊉	da
𬊋	qiu
𬊌	zhi
𬊍	chou
𬊎	gong
𬊑	chuan
𬊒	cheng
𬊓	wei
𬊔	xiu
𬊕	yi
𬊖	mei
𬊗	jian
𬊘	xiong
𬊙	yi
𬊚	zhao
𬊛	ti
𬊜	luo
𬊝	jin
𬊞	xiu
𬊟	xiang
𬊡	hu
𬊣	chun
𬊤	chan
𬊤	dan
𬊥	lan
𬊦	shan
𬊧	peng
𬊩	jia
𬊪	fan
𬊫	xun
𬊭	xian
𬊭	yu
𬊮	dun
𬊯	du
𬊰	yan
𬊱	di
𬊲	zhen
𬊳	shao
𬊵	tang
𬊶	lan
𬊷	duan
𬊸	yu
𬊹	sha
𬊺	ai
𬊺	wei
𬊼	gun
𬊾	ran
𬊿	lian
𬋀	jiong
𬋁	can
𬋃	yan
𬋅	hui
𬋇	nie
𬋈	qiao
𬋊	shun
𬋍	lai
𬋎	weng
𬋏	xie
𬋑	ying
𬋒	xun
𬋓	yan
𬋔	nong
𬋕	jiao
𬋖	ruo
𬋘	liao
𬋛	heng
𬋜	guan
𬋝	bin
𬋞	li
𬋡	cuan
𬋣	ling
𬋥	piao
𬋦	zhi
𬋧	ti
𬋧	xi
𬋪	ai
𬋭	kan
𬋲	ru
𬋵	xi
𬋷	jue
𬋸	qian
𬋹	ci
𬋹	si
𬋺	shang
𬋺	tang
𬋻	da
𬋽	xiao
𬋾	fu
𬋿	zang
𬌀	fu
𬌁	zhuang
𬌂	nie
𬌃	dong
𬌅	zhen
𬌆	zhi
𬌇	yi
𬌉	jin
𬌊	jiang
𬌊	zhuang
𬌋	qi
𬌍	yi
𬌏	du
𬌗	he
𬌚	tian
𬌛	qian
𬌜	sha
𬌝	chu
𬌞	lv
𬌟	qian
𬌠	shi
𬌡	ke
𬌢	ru
𬌤	yang
𬌦	shi
𬌧	gang
𬌩	qian
𬌪	ba
𬌪	xuan
𬌫	mo
𬌬	cuo
𬌬	zuo
𬌮	nao
𬌮	xiao
𬌮	yao
𬌰	pa
𬌲	you
𬌳	xing
𬌴	ling
𬌵	lian
𬌶	huo
𬌷	xiao
𬌸	chun
𬌹	nan
𬌺	yang
𬌻	fu
𬌽	ru
𬌾	chuo
𬍀	rang
𬍁	lian
𬍂	hao
𬍃	zhuo
𬍅	hu
𬍅	nao
𬍊	hen
𬍋	ju
𬍐	chu
𬍑	shan
𬍒	yun
𬍓	mu
𬍕	hua
𬍖	yin
𬍗	zhan
𬍘	you
𬍙	zhan
𬍚	zha
𬍛	li
𬍜	ning
𬍝	hong
𬍞	tou
𬍟	yu
𬍠	yi
𬍡	dang
𬍣	ru
𬍤	xun
𬍥	fu
𬍦	ling
𬍧	xin
𬍨	shao
𬍨	zhao
𬍩	qiong
𬍪	ji
𬍫	jie
𬍬	xing
𬍮	ling
𬍯	ke
𬍰	yan
𬍱	ming
𬍲	yao
𬍴	zou
𬍶	yu
𬍷	ping
𬍸	dun
𬍺	yong
𬍻	lian
𬍼	yao
𬍽	yuan
𬍾	po
𬍿	yu
𬎀	yin
𬎂	cui
𬎃	yi
𬎄	xun
𬎅	xue
𬎆	ying
𬎇	mo
𬎉	wei
𬎊	ai
𬎋	qin
𬎌	yun
𬎍	da
𬎎	liang
𬎏	zi
𬎐	da
𬎑	lan
𬎒	li
𬎒	yu
𬎓	se
𬎔	jin
𬎕	li
𬎕	xi
𬎖	xin
𬎗	zhang
𬎘	jia
𬎙	li
𬎚	qian
𬎛	jing
𬎜	huan
𬎝	man
𬎞	tian
𬎞	zhen
𬎟	lan
𬎠	shu
𬎡	long
𬎢	zhen
𬎥	gan
𬎥	hong
𬎥	xiang
𬎧	cong
𬎨	duo
𬎨	tuo
𬎩	fou
𬎪	he
𬎬	tan
𬎱	cai
𬎺	quan
𬎼	rui
𬎾	su
𬎿	ceng
𬎿	liu
𬎿	zeng
𬏀	zhuo
𬏁	ji
𬏂	zhen
𬏃	hu
𬏄	geng
𬏄	jing
𬏆	feng
𬏉	wan
𬏋	yi
𬏍	shen
𬏏	chong
𬏏	zhong
𬏓	ba
𬏔	fan
𬏕	chan
𬏙	lao
𬏛	cai
𬏜	ma
𬏞	lu
𬏟	ji
𬏢	chai
𬏢	cuo
𬏣	shan
𬏤	liao
𬏦	fei
𬏫	wen
𬏬	chou
𬏬	yi
𬏮	guo
𬏰	cha
𬏰	du
𬏰	duo
𬏱	mie
𬏲	gang
𬏳	zhou
𬏵	chai
𬏵	cuo
𬏷	fen
𬏺	guan
𬏻	mie
𬏼	mo
𬏿	mi
𬐀	bi
𬐃	bo
𬐄	di
𬐅	min
𬐇	du
𬐇	yi
𬐊	hao
𬐋	huang
𬐏	mo
𬐑	feng
𬐓	xue
𬐔	mai
𬐖	pu
𬐗	wang
𬐘	ning
𬐘	zhu
𬐚	hai
𬐛	fan
𬐜	zhan
𬐝	zhan
𬐞	yu
𬐟	yu
𬐠	yang
𬐢	ci
𬐢	zi
𬐣	ke
𬐣	xia
𬐧	yong
𬐪	an
𬐫	pan
𬐬	sha
𬐭	e
𬐮	teng
𬐯	pan
𬐰	lu
𬐱	yan
𬐲	huan
𬐳	hu
𬐳	ou
𬐳	wu
𬐳	xu
𬐴	jian
𬐴	xian
𬐵	hai
𬐶	pan
𬐷	weng
𬐷	yong
𬐸	lu
𬐹	fou
𬐹	pi
𬐺	hai
𬐻	yan
𬐿	mei
𬑀	qi
𬑂	shao
𬑂	yu
𬑂	zhou
𬑃	zhu
𬑄	huan
𬑆	gun
𬑇	chang
𬑇	zhang
𬑉	mie
𬑉	mo
𬑊	ben
𬑌	pan
𬑍	chi
𬑍	chou
𬑏	keng
𬑏	ya
𬑏	ying
𬑒	kou
𬑓	ye
𬑔	meng
𬑔	zhong
𬑕	gun
𬑕	hun
𬑗	jian
𬑗	xian
𬑙	mai
𬑙	shu
𬑙	ya
𬑞	ao
𬑟	hou
𬑠	zhi
𬑡	chou
𬑣	gao
𬑤	mu
𬑧	mian
𬑩	xi
𬑪	gui
𬑪	jiong
𬑪	kui
𬑬	huan
𬑭	mao
𬑭	wu
𬑮	zu
𬑲	fan
𬑳	zhi
𬑴	jin
𬑴	zhi
𬑷	zhao
𬑹	an
𬑹	chang
𬑹	han
𬑻	jian
𬑻	qi
𬑻	qian
𬑿	pu
𬒀	di
𬒄	ya
𬒅	hui
𬒆	ye
𬒇	lan
𬒈	hu
𬒈	que
𬒉	ang
𬒌	yang
𬒍	yun
𬒎	keng
𬒐	mu
𬒑	wan
𬒒	ya
𬒓	ke
𬒓	luo
𬒔	geng
𬒕	su
𬒖	pi
𬒗	lan
𬒘	xin
𬒙	mei
𬒚	jun
𬒛	dai
𬒟	fan
𬒠	qin
𬒢	hua
𬒣	du
𬒣	rong
𬒥	huan
𬒦	rong
𬒪	lai
𬒪	li
𬒫	qian
𬒮	mei
𬒱	jia
𬒲	fu
𬒳	bei
𬒴	fu
𬒴	hu
𬒴	tao
𬒵	xi
𬒶	chuo
𬒷	fou
𬒷	pi
𬒹	shi
𬒺	shu
𬒻	cen
𬒽	qun
𬒾	biao
𬒿	dian
𬓀	an
𬓁	qi
𬓂	chang
𬓃	beng
𬓅	wan
𬓆	zhan
𬓈	lu
𬓉	chuang
𬓊	su
𬓊	suo
𬓋	huan
𬓌	lang
𬓍	yi
𬓎	jian
𬓑	jin
𬓒	fu
𬓔	cong
𬓕	gun
𬓖	zhai
𬓘	piao
𬓙	cuo
𬓚	si
𬓛	jin
𬓜	ta
𬓝	yi
𬓠	ji
𬓡	lai
𬓢	jin
𬓣	yi
𬓤	chi
𬓦	rui
𬓧	ren
𬓧	rong
𬓩	za
𬓪	li
𬓫	qiu
𬓬	e
𬓭	cheng
𬓮	tang
𬓯	shi
𬓱	ben
𬓲	zhen
𬓴	cheng
𬓶	gan
𬓶	lian
𬓷	li
𬓷	zhi
𬓷	zhuo
𬓸	shai
𬓺	yi
𬓼	tui
𬓽	mo
𬓽	mu
𬓾	liang
𬓿	shan
𬔁	mu
𬔃	du
𬔄	sui
𬔆	cui
𬔇	zao
𬔈	xiu
𬔉	gong
𬔊	cuan
𬔊	cui
𬔋	tu
𬔓	zao
𬔘	jin
𬔚	chuang
𬔛	shi
𬔜	po
𬔝	fa
𬔞	tuo
𬔟	luan
𬔟	si
𬔠	luan
𬔠	si
𬔡	chang
𬔡	zhang
𬔢	dang
𬔢	tang
𬔣	ling
𬔤	wei
𬔥	tong
𬔧	zhang
𬔩	shang
𬔪	fu
𬔭	xi
𬔮	fu
𬔮	gu
𬔮	hu
𬔯	ou
𬔰	cong
𬔰	man
𬔱	zhi
𬔲	ti
𬔳	ping
𬔴	mo
𬔵	yu
𬔷	jian
𬔸	ji
𬔹	fei
𬔺	da
𬔼	xiao
𬔽	luo
𬔽	ming
𬔾	pai
𬔿	wu
𬕀	zhu
𬕁	suo
𬕂	gan
𬕂	gong
𬕂	long
𬕃	bu
𬕃	fu
𬕃	pou
𬕃	pu
𬕄	shi
𬕅	li
𬕆	e
𬕇	sun
𬕉	kuai
𬕊	jian
𬕌	shuang
𬕎	xian
𬕏	feng
𬕐	yun
𬕑	chang
𬕒	chang
𬕔	peng
𬕕	ce
𬕖	ding
𬕗	qi
𬕘	ping
𬕙	ben
𬕚	wei
𬕛	ku
𬕜	feng
𬕝	su
𬕝	xiao
𬕞	suo
𬕟	shi
𬕠	huan
𬕡	hong
𬕢	bing
𬕣	gu
𬕤	gen
𬕥	wo
𬕦	ou
𬕧	hai
𬕩	chou
𬕪	mie
𬕬	ling
𬕭	mie
𬕯	yuan
𬕱	ping
𬕲	gu
𬕴	pin
𬕵	qian
𬕸	qian
𬕽	ou
𬕾	long
𬕿	lei
𬖀	tai
𬖁	li
𬖂	zan
𬖃	zuan
𬖄	lian
𬖇	fu
𬖇	yue
𬖈	luo
𬖉	long
𬖊	ying
𬖋	yi
𬖌	ren
𬖎	yi
𬖑	mi
𬖑	xian
𬖔	zu
𬖕	liang
𬖖	chou
𬖘	shi
𬖚	za
𬖛	luan
𬖜	ling
𬖝	gan
𬖞	ci
𬖞	shi
𬖟	men
𬖠	lou
𬖢	gu
𬖤	zhuo
𬖧	zheng
𬖨	lin
𬖫	mie
𬖬	fu
𬖮	xian
𬖰	gao
𬖱	xiu
𬖴	ji
𬖶	ju
𬖸	da
𬖹	shao
𬖺	lan
𬖻	liang
𬖽	men
𬖿	lin
𬗃	yu
𬗄	wan
𬗅	wan
𬗇	yue
𬗈	en
𬗉	yin
𬗊	pai
𬗋	zi
𬗌	hui
𬗎	ju
𬗏	diao
𬗐	suo
𬗑	yi
𬗒	zhu
𬗕	rong
𬗘	zao
𬗚	tao
𬗚	xuan
𬗛	ji
𬗝	sheng
𬗞	shao
𬗟	mian
𬗠	biao
𬗡	chang
𬗢	luo
𬗣	zhou
𬗤	jiao
𬗦	yi
𬗧	you
𬗨	zhen
𬗪	ling
𬗫	xian
𬗫	xuan
𬗬	huang
𬗭	zi
𬗮	mei
𬗯	gong
𬗳	chi
𬗴	mai
𬗶	jiong
𬗶	qing
𬗷	xiu
𬗹	cai
𬗺	di
𬗾	shou
𬗿	wei
𬘁	ji
𬘄	sui
𬘆	zhi
𬘇	cai
𬘈	zheng
𬘉	chan
𬘋	zhi
𬘌	ying
𬘍	pei
𬘎	xiao
𬘏	dao
𬘏	diao
𬘏	tiao
𬘐	xia
𬘑	zi
𬘒	que
𬘓	xun
𬘔	mian
𬘔	mie
𬘕	qiu
𬘖	jian
𬘗	gou
𬘗	yao
𬘗	yue
𬘘	dan
𬘙	yue
𬘚	wa
𬘛	qu
𬘜	zhan
𬘝	tian
𬘝	zhen
𬘞	diao
𬘟	xian
𬘠	gai
𬘡	yin
𬘢	kuang
𬘣	diao
𬘤	lu
𬘥	quan
𬘥	shuan
𬘦	pai
𬘧	ji
𬘨	zhi
𬘩	ting
𬘪	lian
𬘫	huan
𬘫	wan
𬘬	qian
𬘬	qing
𬘬	zheng
𬘭	chen
𬘭	lin
𬘮	mi
𬘯	zhun
𬘰	ruan
𬘱	yao
𬘲	zha
𬘳	xu
𬘴	qiu
𬘵	geng
𬘶	qiu
𬘷	cuo
𬘸	ni
𬘹	zai
𬘺	tao
𬘻	xia
𬘼	sui
𬘽	zhi
𬘾	shuang
𬘿	sou
𬙀	di
𬙁	yan
𬙂	yan
𬙂	yin
𬙃	qian
𬙄	chao
𬙅	chu
𬙅	zhu
𬙆	fan
𬙇	ran
𬙈	lin
𬙉	chan
𬙉	dan
𬙉	tan
𬙊	mo
𬙋	rang
𬙋	xiang
𬙌	ping
𬙍	jing
𬙎	lu
𬙑	xiang
𬙓	xia
𬙕	de
𬙕	dei
𬙕	gong
𬙖	zou
𬙗	yu
𬙘	yu
𬙙	leng
𬙜	du
𬙜	gao
𬙜	hao
𬙜	shi
𬙜	shun
𬙜	yi
𬙜	ze
𬙝	bi
𬙟	yi
𬙠	zhai
𬙡	ji
𬙤	pu
𬙥	shun
𬙦	ju
𬙨	ze
𬙨	zhai
𬙩	mu
𬙪	juan
𬙫	juan
𬙬	long
𬙬	mei
𬙬	nong
𬙬	qiang
𬙬	suan
𬙭	wei
𬙮	xing
𬙯	zhu
𬙰	zang
𬙱	rong
𬙷	yang
𬙸	chun
𬙸	dui
𬙸	dun
𬙸	yong
𬙸	zhun
𬙹	qun
𬙻	yi
𬙿	juan
𬚃	chu
𬚄	su
𬚆	nai
𬚆	neng
𬚆	ying
𬚉	gou
𬚋	qi
𬚋	shi
𬚏	ru
𬚐	mo
𬚑	ou
𬚒	yu
𬚓	qu
𬚔	pan
𬚕	yun
𬚖	chao
𬚗	xu
𬚘	zhi
𬚙	lian
𬚚	e
𬚛	lian
𬚜	tuo
𬚟	ya
𬚠	ni
𬚡	ying
𬚢	ji
𬚤	cang
𬚥	song
𬚦	hua
𬚧	dun
𬚨	er
𬚪	hua
𬚫	zhao
𬚬	xi
𬚬	xian
𬚭	yu
𬚮	xi
𬚰	wei
𬚱	chun
𬚱	er
𬚱	zhun
𬚳	mei
𬚵	pan
𬚶	zhu
𬚷	zhen
𬚸	gua
𬚸	tian
𬚹	wa
𬚻	tan
𬚽	ming
𬚾	e
𬛁	na
𬛃	du
𬛃	zhu
𬛄	xi
𬛅	zhou
𬛆	wen
𬛇	geng
𬛈	nan
𬛊	sheng
𬛋	ji
𬛍	teng
𬛍	xi
𬛎	huo
𬛐	xi
𬛓	sao
𬛔	chun
𬛖	wen
𬛚	ye
𬛛	ji
𬛛	qi
𬛜	bin
𬛞	tong
𬛟	gu
𬛡	biao
𬛤	fu
𬛥	zhi
𬛬	zhong
𬛭	bi
𬛮	su
𬛮	suo
𬛮	you
𬛯	jin
𬛱	zhi
𬛳	jin
𬛳	zhi
𬛴	tai
𬛵	zhen
𬛶	jin
𬛶	zhi
𬛷	jin
𬛷	zhi
𬛸	nie
𬛹	dang
𬛺	gua
𬛺	kuo
𬛻	cheng
𬛻	sheng
𬛼	yu
𬛽	jia
𬛾	mei
𬜀	sou
𬜁	jiao
𬜁	shao
𬜁	yao
𬜁	zhao
𬜂	ling
𬜃	hui
𬜃	mei
𬜃	men
𬜃	mu
𬜃	wei
𬜅	hua
𬜅	tian
𬜈	sui
𬜋	guan
𬜏	jin
𬜑	le
𬜑	lei
𬜒	fan
𬜓	shu
𬜔	da
𬜖	kong
𬜘	zhen
𬜙	bu
𬜚	bu
𬜛	pi
𬜝	mou
𬜝	mu
𬜟	yan
𬜠	fu
𬜡	yue
𬜢	jiu
𬜤	qin
𬜥	lan
𬜦	hui
𬜧	fa
𬜨	hui
𬜪	tao
𬜫	jiao
𬜫	jiu
𬜫	qiu
𬜬	man
𬜮	chu
𬜯	liang
𬜱	ci
𬜴	kuai
𬜵	lin
𬜸	huai
𬜹	fang
𬜺	niu
𬜻	hua
𬜾	xian
𬜿	guo
𬝀	ping
𬝁	yu
𬝃	lao
𬝄	ying
𬝅	yin
𬝆	qiang
𬝇	xiang
𬝈	ping
𬝉	zhi
𬝊	si
𬝋	jie
𬝌	bo
𬝎	rui
𬝏	mie
𬝑	chang
𬝒	li
𬝓	han
𬝖	gen
𬝘	zi
𬝙	kuo
𬝙	mi
𬝙	shi
𬝚	su
𬝛	jiu
𬝜	su
𬝟	pu
𬝠	zei
𬝢	kui
𬝣	yang
𬝤	zhen
𬝧	bang
𬝨	hua
𬝪	ting
𬝫	ming
𬝬	ming
𬝮	guai
𬝮	kai
𬝮	liao
𬝯	bin
𬝯	peng
𬝯	pin
𬝯	ping
𬝲	li
𬝳	zhan
𬝴	nan
𬝵	yun
𬝶	qiang
𬝷	yu
𬝸	shu
𬝹	xue
𬝺	kuan
𬝽	xiu
𬝾	tang
𬝿	zu
𬞀	chen
𬞂	kui
𬞃	xie
𬞇	tao
𬞈	zhe
𬞊	ning
𬞊	zhu
𬞋	jian
𬞌	tao
𬞏	jiang
𬞒	xie
𬞕	lan
𬞖	ping
𬞗	shan
𬞘	tui
𬞚	cui
𬞛	zai
𬞜	xu
𬞝	mu
𬞞	shu
𬞟	pin
𬞣	can
𬞣	cen
𬞣	sen
𬞣	shan
𬞤	bian
𬞥	xi
𬞦	yi
𬞧	ci
𬞩	gao
𬞩	hao
𬞪	yan
𬞪	yuan
𬞫	lan
𬞬	rong
𬞭	xi
𬞯	kui
𬞱	mie
𬞳	teng
𬞴	kui
𬞵	yin
𬞶	sui
𬞸	kuan
𬞹	gao
𬞻	mian
𬞼	wei
𬞽	man
𬞾	chang
𬞿	mo
𬞿	mu
𬟀	teng
𬟁	yi
𬟄	ping
𬟅	chu
𬟆	yi
𬟇	yun
𬟈	miao
𬟉	sui
𬟊	ma
𬟌	zun
𬟍	ou
𬟑	ming
𬟓	xun
𬟔	yi
𬟕	zhen
𬟘	sui
𬟙	teng
𬟚	dun
𬟜	lie
𬟝	xun
𬟟	gu
𬟟	hua
𬟡	kui
𬟤	qiao
𬟦	ge
𬟪	xi
𬟫	xian
𬟮	he
𬟰	gao
𬟰	hao
𬟰	zhi
𬟱	shu
𬟲	gao
𬟲	hao
𬟲	zhi
𬟵	yuan
𬟹	lao
𬟹	liao
𬟺	cong
𬟺	gong
𬟺	zhong
𬟽	dong
𬟿	dan
𬠃	bi
𬠅	dang
𬠈	gong
𬠋	sha
𬠏	la
𬠑	han
𬠔	yuan
𬠕	guai
𬠗	po
𬠚	bo
𬠛	cui
𬠜	zha
𬠞	fei
𬠠	zei
𬠡	xiu
𬠣	rong
𬠤	zhi
𬠪	cheng
𬠬	man
𬠰	xue
𬠲	bi
𬠴	chu
𬠵	mi
𬠷	tuo
𬠹	ge
𬠹	ha
𬠹	she
𬠹	shi
𬠽	xing
𬠿	hang
𬠿	heng
𬠿	xi
𬠿	xing
𬠿	yan
𬡀	xian
𬡁	shou
𬡂	na
𬡄	gun
𬡅	qi
𬡅	yi
𬡆	ji
𬡇	niao
𬡈	xie
𬡊	ba
𬡊	pa
𬡌	qin
𬡍	diao
𬡎	zhou
𬡏	la
𬡑	you
𬡒	ga
𬡒	jia
𬡒	xia
𬡓	die
𬡔	shi
𬡕	sha
𬡖	duo
𬡘	xiang
𬡛	qin
𬡝	qun
𬡠	luo
𬡡	diao
𬡢	ao
𬡤	lao
𬡥	zhen
𬡦	du
𬡧	cang
𬡨	lang
𬡭	bao
𬡰	zhao
𬡱	jian
𬡲	qin
𬡳	cui
𬡵	yi
𬡷	zan
𬡸	ya
𬡺	qu
𬡻	chan
𬡼	shi
𬡿	hong
𬡿	jing
𬡿	ying
𬢁	yu
𬢂	hong
𬢂	jing
𬢂	ying
𬢃	mu
𬢅	zhao
𬢆	xuan
𬢇	cha
𬢈	dong
𬢉	ci
𬢊	si
𬢋	tiao
𬢌	zhi
𬢍	ci
𬢎	du
𬢏	dan
𬢐	qi
𬢑	ying
𬢒	ming
𬢓	pie
𬢔	cheng
𬢕	zhan
𬢙	lei
𬢚	chai
𬢚	cuo
𬢚	jie
𬢛	pao
𬢛	tao
𬢝	ji
𬢝	qi
𬢟	qiu
𬢟	yao
𬢢	bian
𬢣	shi
𬢤	zi
𬢥	cheng
𬢦	kao
𬢧	huan
𬢨	an
𬢪	chou
𬢪	zhou
𬢬	di
𬢭	shen
𬢭	xin
𬢮	xi
𬢯	ying
𬢰	fang
𬢲	han
𬢳	can
𬢴	zi
𬢵	zhen
𬢶	shi
𬢸	bo
𬢸	shen
𬢹	ci
𬢻	chen
𬢼	zhang
𬢿	zha
𬣀	wei
𬣁	qia
𬣁	xia
𬣂	you
𬣃	qi
𬣅	sheng
𬣆	chi
𬣆	lai
𬣇	ju
𬣉	su
𬣊	xuan
𬣋	zhuan
𬣍	tuan
𬣏	shu
𬣑	di
𬣒	mu
𬣓	xi
𬣘	luan
𬣙	xu
𬣚	kou
𬣛	zhi
𬣜	hao
𬣝	jun
𬣝	yun
𬣞	zhu
𬣟	tou
𬣠	gan
𬣡	jian
𬣢	ta
𬣣	zhu
𬣤	jian
𬣥	tao
𬣦	ao
𬣧	fei
𬣨	ya
𬣩	wei
𬣪	hui
𬣫	tuan
𬣬	hui
𬣭	dang
𬣮	ming
𬣯	nin
𬣯	ren
𬣰	hui
𬣱	chou
𬣲	beng
𬣲	bing
𬣳	hen
𬣴	mai
𬣵	ta
𬣶	zha
𬣷	su
𬣸	han
𬣹	cu
𬣻	ting
𬣼	lang
𬣽	lian
𬣾	zha
𬣿	lao
𬤀	hao
𬤀	he
𬤀	xia
𬤁	tao
𬤂	shan
𬤃	hang
𬤃	hong
𬤃	juan
𬤃	kang
𬤃	xiang
𬤄	can
𬤅	ji
𬤆	gun
𬤇	yin
𬤈	di
𬤉	hui
𬤊	di
𬤊	shi
𬤋	cong
𬤌	cha
𬤍	huang
𬤎	xuan
𬤏	duo
𬤐	ge
𬤑	ge
𬤒	ge
𬤓	chi
𬤔	ang
𬤕	ta
𬤖	gun
𬤗	luan
𬤘	chi
𬤙	hao
𬤙	he
𬤙	hu
𬤙	xia
𬤚	ying
𬤛	chan
𬤜	zha
𬤝	hui
𬤞	yi
𬤟	liao
𬤡	ao
𬤢	zun
𬤣	dui
𬤤	zeng
𬤥	zhuan
𬤦	yi
𬤧	gua
𬤨	zao
𬤩	ai
𬤪	ta
𬤫	hao
𬤬	tuan
𬤭	hui
𬤮	zan
𬤯	jian
𬤰	huan
𬤱	tui
𬤳	lun
𬤴	ji
𬤴	qi
𬤵	gu
𬤶	dou
𬤷	bi
𬤸	qin
𬤹	yi
𬤺	bao
𬤼	zong
𬤾	er
𬤾	xian
𬤿	wu
𬥁	ju
𬥄	zhe
𬥅	jue
𬥆	fang
𬥇	meng
𬥈	mao
𬥉	ni
𬥊	man
𬥋	zhai
𬥌	xiang
𬥍	chu
𬥎	xian
𬥏	pan
𬥐	bu
𬥑	kuang
𬥖	kuang
𬥗	zuo
𬥘	zao
𬥙	yun
𬥛	qi
𬥜	chen
𬥝	bo
𬥞	chen
𬥟	ju
𬥠	jie
𬥡	can
𬥡	gai
𬥡	he
𬥡	kai
𬥢	huan
𬥤	zhu
𬥥	chong
𬥥	zhong
𬥦	lai
𬥫	dui
𬥰	chi
𬥲	nang
𬥳	chuang
𬥴	han
𬥵	yi
𬥶	bi
𬥷	zheng
𬥸	chuan
𬥹	she
𬥺	yan
𬥻	ruan
𬥼	zhuan
𬥽	hou
𬥾	lan
𬥿	zhan
𬦀	nang
𬦂	nian
𬦅	tang
𬦆	tuan
𬦇	zou
𬦈	tu
𬦌	yue
𬦍	chen
𬦍	cheng
𬦍	er
𬦎	xi
𬦐	gua
𬦐	huo
𬦑	yi
𬦓	zong
𬦔	da
𬦖	yun
𬦗	lei
𬦘	xi
𬦝	zui
𬦟	shuang
𬦣	li
𬦤	ya
𬦥	bei
𬦥	pei
𬦦	pa
𬦧	lun
𬦩	zou
𬦪	lu
𬦪	zhu
𬦫	duo
𬦬	ge
𬦮	nie
𬦮	pa
𬦮	pang
𬦮	yi
𬦯	xie
𬦰	bo
𬦱	pai
𬦲	che
𬦴	bing
𬦵	zhang
𬦹	tiao
𬦺	hu
𬦻	guan
𬧀	qiang
𬧁	pai
𬧂	xuan
𬧃	teng
𬧅	shuan
𬧇	tuo
𬧉	sang
𬧋	zhan
𬧌	biao
𬧎	qian
𬧑	chen
𬧑	cheng
𬧑	jian
𬧑	nian
𬧑	qian
𬧓	chuan
𬧔	lu
𬧖	cao
𬧖	zao
𬧗	tuo
𬧙	lu
𬧚	dian
𬧛	lan
𬧞	ba
𬧠	ban
𬧡	lu
𬧢	long
𬧤	lao
𬧨	kun
𬧩	guo
𬧪	liang
𬧰	ju
𬧱	zong
𬧵	chen
𬧵	yao
𬧶	jiao
𬧶	jue
𬧶	xiao
𬧷	meng
𬧸	huan
𬧹	chai
𬧹	cuo
𬧹	jie
𬧹	zuo
𬧽	shang
𬧿	chang
𬨀	ye
𬨀	zhuai
𬨁	mao
𬨂	qi
𬨃	nian
𬨄	yang
𬨅	nian
𬨅	ruan
𬨆	gong
𬨇	kai
𬨈	wan
𬨉	tian
𬨋	cang
𬨌	pi
𬨍	ge
𬨍	ya
𬨎	you
𬨏	ji
𬨏	qi
𬨏	xu
𬨐	hui
𬨑	sang
𬨒	guang
𬨓	chao
𬨔	pi
𬨕	zhi
𬨖	yi
𬨗	la
𬨚	tai
𬨚	yi
𬨛	la
𬨝	xu
𬨞	fu
𬨞	qi
𬨟	fen
𬨡	shan
