离乱	w
ᴉ	|i
ᵎ	|i
ḯ	|i
ᶖ	|i
ɩ	|i
ᶥ	|i
ᵼ	|i
Ī	|I
Í	|I
Ǐ	|I
Ì	|I
Ȉ	|I
Î	|I
Ĭ	|I
Ȋ	|I
Ï	|I
Ĩ	|I
İ	|I
ɪ	|I
ᴵ	|I
ᶦ	|I
Ɨ	|I
ᵻ	|I
ᶧ	|I
Ỉ	|I
Į	|I
Ị	|I
Ḭ	|I
Ḯ	|I
ꟾ	|I
Ɩ	|I
ĵ	|j
ǰ	|j
ⱼ	|j
ʲ	|j
ɉ	|j
ȷ	|j
ɟ	|j
ᶡ	|j
ʄ	|j
ʝ	|j
ᶨ	|j
Ĵ	|J
ᴊ	|J
ᴶ	|J
Ɉ	|J
Ʝ	|J
ḱ	|k
ǩ	|k
ₖ	|k
ᵏ	|k
ꝁ	|k
ꝃ	|k
ꞣ	|k
ꝅ	|k
ķ	|k
ḵ	|k
ḳ	|k
ƙ	|k
ᶄ	|k
ⱪ	|k
ʞ	|k
ĸ	|k
　	|kg
Ḱ	|K
Ǩ	|K
ᴋ	|K
ᴷ	|K
Ꝁ	|K
Ꝃ	|K
Ꞣ	|K
Ꝅ	|K
Ķ	|K
Ḵ	|K
Ḳ	|K
Ƙ	|K
Ⱪ	|K
Ʞ	|K
ĺ	|l
ˡ	|l
ł	|l
ꝉ	|l
ƚ	|l
ⱡ	|l
ɫ	|l
ꭞ	|l
ꬸ	|l
ɬ	|l
ľ	|l
ļ	|l
ḻ	|l
ḽ	|l
ḷ	|l
ŀ	|l
ꝲ	|l
ƛ	|l
ᶅ	|l
ᶪ	|l
ɭ	|l
ᶩ	|l
ḹ	|l
ꬷ	|l
ꭝ	|l
ꬹ	|l
ȴ	|l
ꝇ	|l
Ĺ	|L
ʟ	|L
ᶫ	|L
Ƚ	|L
Ꝉ	|L
Ł	|L
ᴌ	|L
Ⱡ	|L
Ɫ	|L
Ɬ	|L
Ľ	|L
Ļ	|L
Ḻ	|L
Ḽ	|L
Ḷ	|L
Ŀ	|L
Ꝇ	|L
ḿ	|m
ṁ	|m
ᵐ	|m
ₘ	|m
ṃ	|m
ᵯ	|m
ɱ	|m
ᶬ	|m
ꬺ	|m
ᶆ	|m
ꝳ	|m
ɯ	|m
ᵚ	|m
ɰ	|m
ᶭ	|m
ᴟ	|m
Ḿ	|M
Ṁ	|M
ᴍ	|M
ᴹ	|M
Ṃ	|M
Ɱ	|M
Ɯ	|M
ꟽ	|M
ꟿ	|M
ń	|n
ň	|n
ǹ	|n
ṅ	|n
ñ	|n
ₙ	|n
ⁿ	|n
ɲ	|n
ᶮ	|n
ɳ	|n
ᶯ	|n
ȵ	|n
ƞ	|n
ŋ	|n
ᵑ	|n
ꬻ	|n
ꬼ	|n
ꝴ	|n
ŉ	|n
ꞥ	|n
ņ	|n
ṉ	|n
ṋ	|n
ṇ	|n
ᵰ	|n
ꞑ	|n
ᶇ	|n
Ń	|N
Ň	|N
Ǹ	|N
Ṅ	|N
Ñ	|N
ɴ	|N
ᴺ	|N
ᴻ	|N
ᶰ	|N
Ɲ	|N
Ƞ	|N
Ŋ	|N
Ņ	|N
Ṉ	|N
Ṋ	|N
Ṇ	|N
Ꞑ	|N
ō	|o
ó	|o
ő	|o
ǒ	|o
ò	|o
ô	|o
ŏ	|o
ȯ	|o
ö	|o
õ	|o
ₒ	|o
ᵒ	|o
º	|o
ɔ	|o
ᵓ	|o
ᶗ	|o
ꬿ	|o
ø	|o
ǫ	|o
ọ	|o
ơ	|o
ɵ	|o
ᶱ	|o
ᴑ	|o
ᴒ	|o
ᴓ	|o
ꝋ	|o
ꝍ	|o
ṓ	|o
ṑ	|o
ố	|o
ồ	|o
ỗ	|o
ổ	|o
ȱ	|o
ȫ	|o
